Date : 2020-05-07 16:01:01
Directory : c:\Users\Steak\Documents\GitHub\Upsilon\Libraries
Total : 5106 files,  1016028 codes, 259358 comments, 186782 blanks, all 1462168 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utSharedPPData.cpp                                                                                                | C++           |         63 |         47 |         15 |        125 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utSimd.cpp                                                                                                        | C++           |         15 |         41 |          7 |         63 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utSortByPType.cpp                                                                                                 | C++           |        135 |         47 |         23 |        205 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utSplitLargeMeshes.cpp                                                                                            | C++           |         86 |         48 |         22 |        156 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utStringUtils.cpp                                                                                                 | C++           |         22 |         40 |          7 |         69 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utTargetAnimation.cpp                                                                                             | C++           |          1 |         41 |          2 |         44 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utTextureTransform.cpp                                                                                            | C++           |          1 |         41 |          2 |         44 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utTriangulate.cpp                                                                                                 | C++           |         77 |         42 |         20 |        139 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utTypes.cpp                                                                                                       | C++           |         25 |         43 |         10 |         78 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utValidateDataStructure.cpp                                                                                       | C++           |         31 |        152 |         17 |        200 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utVector3.cpp                                                                                                     | C++           |         26 |         39 |          5 |         70 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utVersion.cpp                                                                                                     | C++           |         26 |         39 |         11 |         76 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utVertexTriangleAdjacency.cpp                                                                                     | C++           |        113 |         61 |         37 |        211 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utX3DImportExport.cpp                                                                                             | C++           |         16 |         40 |          6 |         62 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utXImporterExporter.cpp                                                                                           | C++           |         70 |         40 |         17 |        127 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utglTF2ImportExport.cpp                                                                                           | C++           |        390 |         63 |         59 |        512 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\test\unit\utglTFImportExport.cpp                                                                                            | C++           |         64 |         40 |          8 |        112 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_cmd\CompareDump.cpp                                                                                            | C++           |        647 |        145 |        165 |        957 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_cmd\Export.cpp                                                                                                 | C++           |         86 |         57 |         23 |        166 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_cmd\ImageExtractor.cpp                                                                                         | C++           |        231 |         76 |         54 |        361 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_cmd\Info.cpp                                                                                                   | C++           |        350 |         85 |         49 |        484 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_cmd\Main.cpp                                                                                                   | C++           |        340 |        120 |         62 |        522 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_cmd\Main.h                                                                                                     | C++           |        108 |        113 |         49 |        270 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_cmd\WriteDump.cpp                                                                                              | C++           |         93 |         52 |         20 |        165 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_cmd\generic_inserter.hpp                                                                                       | C++           |         66 |         35 |         13 |        114 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_cmd\resource.h                                                                                                 | C++           |         13 |          6 |          3 |         22 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\AnimEvaluator.cpp                                                                                         | C++           |         91 |         60 |         20 |        171 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\AnimEvaluator.h                                                                                           | C++           |         19 |         57 |         11 |         87 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\AssetHelper.h                                                                                             | C++           |        124 |         88 |         39 |        251 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\Background.cpp                                                                                            | C++           |        337 |         75 |         51 |        463 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\Background.h                                                                                              | C++           |         50 |         55 |         24 |        129 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\Camera.h                                                                                                  | C++           |         20 |         51 |         14 |         85 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\Display.cpp                                                                                               | C++           |      1,727 |        289 |        287 |      2,303 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\Display.h                                                                                                 | C++           |        211 |        228 |        103 |        542 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\HelpDialog.cpp                                                                                            | C++           |         44 |         44 |         16 |        104 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\Input.cpp                                                                                                 | C++           |        230 |         80 |         62 |        372 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\LogDisplay.cpp                                                                                            | C++           |        142 |         53 |         27 |        222 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\LogDisplay.h                                                                                              | C++           |         34 |         50 |         16 |        100 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\LogWindow.cpp                                                                                             | C++           |        151 |         56 |         34 |        241 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\LogWindow.h                                                                                               | C++           |         43 |         63 |         27 |        133 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\Material.cpp                                                                                              | C++           |      1,120 |        206 |        168 |      1,494 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\MaterialManager.h                                                                                         | C++           |         61 |        118 |         30 |        209 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\MeshRenderer.cpp                                                                                          | C++           |         90 |         51 |         23 |        164 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\MeshRenderer.h                                                                                            | C++           |         22 |         60 |         17 |         99 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\MessageProc.cpp                                                                                           | C++           |      1,801 |        307 |        327 |      2,435 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\Normals.cpp                                                                                               | C++           |         81 |         55 |         20 |        156 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\RenderOptions.h                                                                                           | C++           |         37 |         56 |         20 |        113 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\SceneAnimator.cpp                                                                                         | C++           |        113 |         87 |         36 |        236 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\SceneAnimator.h                                                                                           | C++           |         66 |        149 |         34 |        249 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\Shaders.cpp                                                                                               | C++           |      1,091 |        143 |        164 |      1,398 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\Shaders.h                                                                                                 | C++           |          9 |         46 |          9 |         64 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\assimp_view.cpp                                                                                           | C++           |        824 |        190 |        165 |      1,179 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\assimp_view.h                                                                                             | C++           |        135 |        102 |         43 |        280 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\resource.h                                                                                                | C++           |        228 |          6 |          2 |        236 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\stdafx.cpp                                                                                                | C++           |          1 |          5 |          3 |          9 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\assimp_view\stdafx.h                                                                                                  | C++           |         47 |         12 |         15 |         74 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\coverity\assimp_modeling.cpp                                                                                          | C++           |          0 |         40 |          1 |         41 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\make\build_env_win32.bat                                                                                              | Batch         |         38 |          1 |         18 |         57 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\make\make_all_win32_x64.bat                                                                                           | Batch         |         15 |          0 |          4 |         19 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\assimp\assimp\tools\shared\assimp_tools_icon.svg                                                                                          | XML           |        183 |          1 |          1 |        185 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\.appveyor.yml                                                                                                                   | YAML          |         60 |          0 |          1 |         61 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\.gitattributes                                                                                                                  | Properties    |          5 |          0 |          1 |          6 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\.travis.yml                                                                                                                     | YAML          |        106 |          0 |          1 |        107 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\LICENSE.md                                                                                                                      | Markdown      |         16 |          0 |          8 |         24 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\README.md                                                                                                                       | Markdown      |        352 |          0 |         50 |        402 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\getopt.c                                                                                                                   | C             |        109 |         89 |         33 |        231 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\getopt.h                                                                                                                   | C++           |         23 |         25 |         10 |         58 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\glad\gl.h                                                                                                                  | C++           |      3,776 |         25 |         40 |      3,841 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\glad\khrplatform.h                                                                                                         | C++           |        101 |        154 |         28 |        283 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\glad\vk_platform.h                                                                                                         | C++           |         40 |         43 |         10 |         93 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\glad\vulkan.h                                                                                                              | C++           |      3,398 |         30 |         53 |      3,481 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\glad_gl.c                                                                                                                  | C             |      1,752 |          0 |         40 |      1,792 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\glad_vulkan.c                                                                                                              | C             |        535 |          0 |         59 |        594 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\linmath.h                                                                                                                  | C++           |        534 |         20 |         68 |        622 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\mingw\_mingw_dxhelper.h                                                                                                    | C++           |        102 |          6 |         10 |        118 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\mingw\dinput.h                                                                                                             | C++           |      2,090 |        188 |        190 |      2,468 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\mingw\xinput.h                                                                                                             | C++           |        128 |         79 |         33 |        240 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\nuklear.h                                                                                                                  | C++           |     18,789 |      4,900 |      1,851 |     25,540 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\nuklear_glfw_gl2.h                                                                                                         | C++           |        311 |         28 |         43 |        382 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\stb_image_write.h                                                                                                          | C++           |        764 |        175 |        110 |      1,049 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\tinycthread.c                                                                                                              | C             |        472 |         60 |         63 |        595 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\tinycthread.h                                                                                                              | C++           |        138 |        255 |         51 |        444 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\deps\vs2008\stdint.h                                                                                                            | C++           |        152 |         55 |         41 |        248 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\docs\CONTRIBUTING.md                                                                                                            | Markdown      |        281 |          0 |        111 |        392 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\docs\DoxygenLayout.xml                                                                                                          | XML           |         63 |          5 |          4 |         72 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\docs\SUPPORT.md                                                                                                                 | Markdown      |         10 |          0 |          5 |         15 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\docs\extra.css                                                                                                                  | CSS           |          1 |          0 |          1 |          2 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\docs\extra.less                                                                                                                 | Less          |        301 |         28 |         86 |        415 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\docs\footer.html                                                                                                                | HTML          |          7 |          0 |          1 |          8 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\docs\header.html                                                                                                                | HTML          |         29 |          3 |          2 |         34 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\docs\spaces.svg                                                                                                                 | XML           |        875 |          1 |          2 |        878 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\examples\boing.c                                                                                                                | C             |        387 |        171 |        122 |        680 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\examples\gears.c                                                                                                                | C             |        243 |         55 |         63 |        361 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\examples\heightmap.c                                                                                                            | C             |        349 |        101 |         63 |        513 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\examples\offscreen.c                                                                                                            | C             |        117 |         27 |         34 |        178 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\examples\particles.c                                                                                                            | C             |        649 |        222 |        203 |      1,074 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\examples\sharing.c                                                                                                              | C             |        152 |         33 |         50 |        235 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\examples\splitview.c                                                                                                            | C             |        331 |        103 |        113 |        547 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\examples\triangle-opengl.c                                                                                                      | C             |        113 |         27 |         31 |        171 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\examples\wave.c                                                                                                                 | C             |        285 |         82 |         96 |        463 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\include\GLFW\glfw3.h                                                                                                            | C++           |        583 |      5,154 |        242 |      5,979 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\include\GLFW\glfw3native.h                                                                                                      | C++           |         83 |        404 |         39 |        526 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\cocoa_init.m                                                                                                                | Objective-C   |        466 |         57 |         99 |        622 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\cocoa_joystick.h                                                                                                            | C++           |         16 |         27 |          8 |         51 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\cocoa_joystick.m                                                                                                            | Objective-C   |        364 |         54 |         70 |        488 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\cocoa_monitor.m                                                                                                             | Objective-C   |        429 |         67 |        117 |        613 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\cocoa_platform.h                                                                                                            | C++           |        127 |         47 |         37 |        211 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\cocoa_time.c                                                                                                                | C             |         16 |         35 |         12 |         63 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\cocoa_window.m                                                                                                              | Objective-C   |      1,391 |        102 |        339 |      1,832 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\context.c                                                                                                                   | C             |        544 |         99 |        118 |        761 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\egl_context.c                                                                                                               | C             |        628 |         57 |        105 |        790 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\egl_context.h                                                                                                               | C++           |        166 |         31 |         19 |        216 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\glx_context.c                                                                                                               | C             |        530 |         61 |        108 |        699 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\glx_context.h                                                                                                               | C++           |        130 |         34 |         18 |        182 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\init.c                                                                                                                      | C             |        236 |         49 |         58 |        343 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\input.c                                                                                                                     | C             |      1,010 |         88 |        263 |      1,361 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\internal.h                                                                                                                  | C++           |        582 |        105 |         95 |        782 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\linux_joystick.c                                                                                                            | C             |        291 |         64 |         79 |        434 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\linux_joystick.h                                                                                                            | C++           |         25 |         29 |          9 |         63 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\mappings.h                                                                                                                  | C++           |        414 |         58 |          5 |        477 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\monitor.c                                                                                                                   | C             |        366 |         69 |        110 |        545 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\nsgl_context.h                                                                                                              | C++           |         22 |         33 |         12 |         67 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\nsgl_context.m                                                                                                              | Objective-C   |        240 |         57 |         73 |        370 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\null_init.c                                                                                                                 | C             |         14 |         31 |          8 |         53 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\null_joystick.c                                                                                                             | C             |          8 |         30 |          7 |         45 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\null_joystick.h                                                                                                             | C++           |          3 |         25 |          4 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\null_monitor.c                                                                                                              | C             |         34 |         31 |         13 |         78 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\null_platform.h                                                                                                             | C++           |         27 |         28 |          8 |         63 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\null_window.c                                                                                                               | C             |        237 |         32 |         64 |        333 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\osmesa_context.c                                                                                                            | C             |        276 |         39 |         58 |        373 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\osmesa_context.h                                                                                                            | C++           |         51 |         30 |         14 |         95 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\posix_thread.c                                                                                                              | C             |         57 |         31 |         18 |        106 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\posix_thread.h                                                                                                              | C++           |         13 |         30 |          9 |         52 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\posix_time.c                                                                                                                | C             |         42 |         36 |         13 |         91 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\posix_time.h                                                                                                                | C++           |          8 |         28 |          9 |         45 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\vulkan.c                                                                                                                    | C             |        245 |         35 |         53 |        333 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\wgl_context.c                                                                                                               | C             |        620 |         62 |        115 |        797 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\wgl_context.h                                                                                                               | C++           |        114 |         32 |         15 |        161 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\win32_init.c                                                                                                                | C             |        462 |         77 |         93 |        632 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\win32_joystick.c                                                                                                            | C             |        588 |         68 |        100 |        756 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\win32_joystick.h                                                                                                            | C++           |         20 |         29 |          8 |         57 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\win32_monitor.c                                                                                                             | C             |        389 |         53 |         94 |        536 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\win32_platform.h                                                                                                            | C++           |        332 |         64 |         64 |        460 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\win32_thread.c                                                                                                              | C             |         53 |         31 |         16 |        100 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\win32_time.c                                                                                                                | C             |         30 |         36 |         11 |         77 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\win32_window.c                                                                                                              | C             |      1,747 |        162 |        357 |      2,266 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\window.c                                                                                                                    | C             |        855 |         71 |        179 |      1,105 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\wl_init.c                                                                                                                   | C             |      1,141 |         47 |        131 |      1,319 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\wl_monitor.c                                                                                                                | C             |        151 |         37 |         38 |        226 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\wl_platform.h                                                                                                               | C++           |        271 |         35 |         52 |        358 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\wl_window.c                                                                                                                 | C             |      1,420 |         97 |        238 |      1,755 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\x11_init.c                                                                                                                  | C             |      1,093 |        127 |        143 |      1,363 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\x11_monitor.c                                                                                                               | C             |        460 |         56 |         99 |        615 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\x11_platform.h                                                                                                              | C++           |        645 |         61 |         61 |        767 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\x11_window.c                                                                                                                | C             |      2,537 |        211 |        495 |      3,243 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\xkb_unicode.c                                                                                                               | C             |        858 |         69 |         16 |        943 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\src\xkb_unicode.h                                                                                                               | C++           |          1 |         25 |          3 |         29 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\clipboard.c                                                                                                               | C             |         92 |         28 |         26 |        146 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\cursor.c                                                                                                                  | C             |        369 |         34 |         86 |        489 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\empty.c                                                                                                                   | C             |         77 |         28 |         28 |        133 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\events.c                                                                                                                  | C             |        550 |         36 |         85 |        671 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\gamma.c                                                                                                                   | C             |        122 |         29 |         30 |        181 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\glfwinfo.c                                                                                                                | C             |        722 |         27 |        118 |        867 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\icon.c                                                                                                                    | C             |        100 |         29 |         21 |        150 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\iconify.c                                                                                                                 | C             |        220 |         30 |         48 |        298 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\inputlag.c                                                                                                                | C             |        222 |         30 |         58 |        310 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\joysticks.c                                                                                                               | C             |        252 |         29 |         65 |        346 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\monitors.c                                                                                                                | C             |        184 |         29 |         50 |        263 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\msaa.c                                                                                                                    | C             |        148 |         31 |         42 |        221 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\opacity.c                                                                                                                 | C             |         66 |         24 |         20 |        110 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\reopen.c                                                                                                                  | C             |        162 |         34 |         45 |        241 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\tearing.c                                                                                                                 | C             |        177 |         29 |         45 |        251 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\glfw\glfw\tests\threads.c                                                                                                                 | C             |         95 |         29 |         29 |        153 |
